,Shop,Address,Latitude,Longitude,Borough
476,No.6 Coffee,"6 Boston Parade, Boston Road, Hanwell W7 2DG, United Kingdom",51.496438,-0.3252866,Ealing
477,Oscars Coffee Lounge,"125 Pitshanger Ln, Pitshanger, London W5 1RH, UK",51.525803,-0.314684,Ealing
478,Roland's Coffee Shop,"Hanwell, London W7 3QJ, United Kingdom",51.50443430000001,-0.3339122,Ealing
479,Silk Route Cafe,"1290 Greenford Rd, Greenford UB6 0HH, UK",51.550452,-0.339283,Ealing
480,Starbucks,"11-12 The Green, Ealing, London W5 5DA, UK",51.511098,-0.3051732,Ealing
481,Starbucks Coffee,"7 Oak Rd, Ealing, London W5 3SS, UK",51.5132742,-0.3017297,Ealing
482,Station Coffee,"4 Churchfield Rd, Acton, London W3 6EG, UK",51.50901409999999,-0.2633136,Ealing
483,Tesco Café,"Bulls Bridge Industrial Est, Hayes Rd, Southall UB2 5LN, United Kingdom",51.4989421,-0.4078604,Ealing
484,The Apple Tree,"2, Acton Town Station Station Parade, Gunnersbury Ln, Acton, London W3 8HN, UK",51.503138,-0.2802549,Ealing
485,The Coffee House,"135 High St, Acton, London W3 6LY, UK",51.50666280000001,-0.2691811,Ealing
486,The Fields Coffee Shop,"295 Northfield Ave, Ealing, London W5 4XB, UK",51.4972872,-0.312706,Ealing
487,The Fifth Taste,"Ealing Common Tube Station, Uxbridge Road, London W5 3LD, United Kingdom",51.5102516,-0.2881145,Ealing
488,The Old Hat Ealing,"128 Broadway, Ealing, London W13 0SY, UK",51.5099826,-0.3265996,Ealing
489,The Post Room Cafe,"2 Bedford Corner, S Parade W4 1LD, United Kingdom",51.4963631,-0.256048,Ealing
490,Tiramisu Cafe,"12 St Mary's Rd, Ealing, London W5 5ES, UK",51.507461,-0.305341,Ealing
491,WA Cafe (Ealing Broadway),"32 Haven Green, Ealing, London W5 2NX, UK",51.51591310000001,-0.3020051,Ealing
492,caffe' milano,"40 S Ealing Rd, Ealing, London W5 4QA, UK",51.5032186,-0.3070078,Ealing
493,Art & Coffee,"Unit 2B, Redburn Industrial Estate, Woodall Rd, Enfield EN3 4LE, UK",51.6403384,-0.0365416,Enfield
494,BB's Coffee & Muffins,"3 Plevna Rd, Edmonton Green, London N9 0TX, UK",51.6228376,-0.05898750000000001,Enfield
495,Bonito Cafe,"3 London Rd, Enfield EN2 6BN, UK",51.6518053,-0.08080849999999999,Enfield
496,Bookafe,"390 Green Lanes, Palmers Green, London N13 5PD, UK",51.62144079999999,-0.1056435,Enfield
497,Cafe Venezia,"8 Chaseville Parade, Chaseville Park Rd, London N21 1PG, UK",51.643839,-0.113314,Enfield
498,Caffè Nero,"22 The Town, Enfield EN2 6LT, UK",51.6520204,-0.0821322,Enfield
499,Chi Chi’s Coffee & Waffle House,"604 Green Lanes, Palmers Green, London N13 5RY, UK",51.6266607,-0.0986527,Enfield
500,Claud W Dennis Coffee,"3 Chase Side, Osidge, London N14 5PB, UK",51.6325876,-0.1283219,Enfield
501,Coffee Break,"792, Green Lanes, Winchmore Hill, London N21 2SH, UK",51.6317503,-0.0946066,Enfield
502,Costa,"115 Great Cambridge Rd, Enfield EN1 1JD, UK",51.642209,-0.06143490000000001,Enfield
503,Costa Coffee,"ravenside retail park, Angel Rd, Edmonton, London N18 3HA, UK",51.61132869999999,-0.0423192,Enfield
504,Costa Coffee,"Unit 1, Silverpoint, Fore St, Edmonton, London N18 2SL, UK",51.6114761,-0.0647884,Enfield
505,Costa Coffee,"North Middlesex Hospital, Sterling Way, London N18 1QX, UK",51.6134588,-0.0750328,Enfield
506,Costa Coffee,"356 Bowes Rd, Arnos Grove, London N11 1AN, UK",51.616206,-0.1345239,Enfield
507,Costa Coffee,"349 Green Lanes, Palmers Green, London N13 4JG, UK",51.6188957,-0.1077862,Enfield
508,Costa Coffee,"North Mall, edmonton green shopping centre, 4, London N9 0EJ, United Kingdom",51.6247421,-0.0571552,Enfield
509,Costa Coffee,"47b Chase Side, Osidge, London N14 5BP, UK",51.6329626,-0.1302962,Enfield
510,Costa Coffee,"Odeon, Lee Valley Cinema, Pickett's Lock Ln, London N9 0AS, United Kingdom",51.6329757,-0.03712240000000001,Enfield
511,Costa Coffee,"288 High St, London EN3 4DP, UK",51.6477276,-0.0478922,Enfield
512,Costa Coffee,"Station Parade, 16 Cockfosters Rd, Barnet EN4 0DN, UK",51.6485761,-0.1473927,Enfield
513,Costa Coffee,"26 Palace Gardens, Enfield EN2 6SN, UK",51.6511697,-0.084052,Enfield
514,Costa Coffee,"Enfield Retail Park, Unit 1, Crown Rd, Enfield, London EN1 1TH, United Kingdom",51.65357580000001,-0.0573177,Enfield
515,Costa Coffee,"Enfield Retail Park, Great Cambridge Rd, Enfield EN1 3RW, UK",51.6543487,-0.0592969,Enfield
516,Costa Coffee,"163 Hertford Rd, Enfield EN3 5JG, UK",51.6578744,-0.0469947,Enfield
517,Ferny Hill Farm,"Ferny Hill, Barnet EN4 0PZ, UK",51.6667509,-0.1486934,Enfield
518,Fields - Café,"St Lukes Church, 1 Phipps Hatch Ln, Enfield EN2 0HL, United Kingdom",51.66754650000001,-0.0846666,Enfield
519,Greggs,"110 South St, Enfield EN3 4QA, UK",51.6431462,-0.0384642,Enfield
520,Greggs,"8 Church St, Enfield EN2 6BE, UK",51.652033,-0.0829428,Enfield
521,Greggs,"308 Baker St, Enfield EN1 3LD, UK",51.66293169999999,-0.0778373,Enfield
522,Greggs,"638 Hertford Rd, Enfield EN3 5TD, UK",51.6706426,-0.0409762,Enfield
523,Greggs Bush Hill Park,"Bush Hill Parade, 9 Bush Hill Rd, Enfield EN1 2HB, UK",51.6365754,-0.0811943,Enfield
524,Grill On The Hill,"41 Windmill Hill, Enfield EN2 7AE, UK",51.6537053,-0.0917813,Enfield
525,Harris + Hoole,"10 Chase Side, Osidge, London N14 5PA, UK",51.63278039999999,-0.1279192,Enfield
526,Heddons Kitchen,"19 Heddon Court Parade, Cockfosters Rd, Barnet EN4 0DB, UK",51.646745,-0.147314,Enfield
527,Heritage Coffee & Tea Company,"7 The Broadway, London N14 6PH, UK",51.6327186,-0.1267283,Enfield
528,Hopper & Bean,"4 The Green, Winchmore Hill, London N21 1AY, UK",51.6340718,-0.1019313,Enfield
529,Kiva Coffee House,"5TW, 346 Green Lanes, Palmers Green, London N13 5TW, UK",51.619637,-0.1066828,Enfield
530,LSA Art Coffee,"29 The Town, Enfield EN2 6LU, UK",51.6522917,-0.08104299999999999,Enfield
531,Lemonjellie,"875 Green Lanes, Winchmore Hill, London N21 2QS, UK",51.634845,-0.094119,Enfield
532,Leo's Coffee Shop,"Platform 1, Enfield Chase Railway Station, Windmill Hill, Enfield EN2 7AA, UK",51.65328,-0.09066199999999999,Enfield
533,Muffin Break Ltd,"Unit 4, palace Exchange, Hatton Walk, Enfield EN2 6BP, UK",51.6518311,-0.08220899999999999,Enfield
534,Olive Tree Cafe,"1D Chase Ct Gardens, Enfield EN2 8DH, UK",51.6539169,-0.0924868,Enfield
535,Red Internet Cafe,"145 Green Lanes, London N13 4SP, UK",51.6117648,-0.1096105,Enfield
536,Silver Service Coffee House,"621-623 Hertford Rd, Enfield EN3 6UP, UK",51.6716274,-0.039974,Enfield
537,Stantons Coffee House,"7 Queen Anne's Pl, Enfield EN1 2QB, UK",51.6418147,-0.0699631,Enfield
538,Star Cafe,"256 High St, Enfield EN3 4HB, UK",51.6468581,-0.0472503,Enfield
539,Starbucks Coffee,"305-307 Green Lanes, Palmers Green, London N13 4YB, UK",51.6180919,-0.1089324,Enfield
540,Starbucks Coffee,"681 Green Lanes, Winchmore Hill, London N21 3RS, UK",51.629028,-0.098217,Enfield
541,Starbucks Coffee,"Cineworld Cinemas, Southbury Leisure Park, Southbury Rd, Enfield EN1 1YQ, UK",51.6501473,-0.06053419999999999,Enfield
542,Starbucks Coffee,"7 Church St, Enfield EN2 6AF, UK",51.6522893,-0.0834501,Enfield
543,Starfish & Coffee,"Starfish & Coffee, 92 Aldermans Hill, Palmers Green, London N13 4PP, UK",51.6195259,-0.11416,Enfield
544,The Blueberry Coffee Shop,"Springtime Nurseries, Cattlegate Rd, Enfield EN2 9EE, UK",51.6826099,-0.1013216,Enfield
545,The Brothers Coffee Bar,"14 Ashfield Parade, Osidge, London N14 5AB, UK",51.6313948,-0.1285756,Enfield
546,The Coffee Pot,"742 Hertford Rd, Enfield EN3 6PR, UK",51.6748635,-0.0375063,Enfield
547,The Sprout Mobile Coffee Shop,"Arnos Rd, Arnos Grove, London N11 1AP, UK",51.6179891,-0.131222,Enfield
548,The Yard,"Aldermans Hill, Palmers Green, London N13 4PN, UK",51.6182843,-0.1105861,Enfield
549,Wild Bean Cafe,"168 Bullsmoor Ln, Enfield EN1 4SE, UK",51.6798369,-0.04858179999999999,Enfield
550,Wolden Garden Centre,"Cattlegate Rd, Enfield EN2 9DW, UK",51.6828436,-0.1050827,Enfield
551,Zippola,"Zippola, Live to Eat, 93 Lancaster Rd, Enfield EN2 0DN, UK",51.6640874,-0.0818323,Enfield
552,coffee@cals,"Platform 1 Grange Park Station, Vera Ave N21 1RE, United Kingdom",51.6424716,-0.0976679,Enfield
553,Boulangerie Jade,"9 Major Draper St, Royal Arsenal, London SE18 6GD, UK",51.4926143,0.070701,Greenwich
554,Cafe Pura,"Greenwich Peninsula, London SE10 0BA, United Kingdom",51.4944228,0.0133578,Greenwich
555,Caffè Nero,"5 Millennium Way, Greenwich Peninsula, London SE10 0PH, UK",51.50027530000001,0.0034715,Greenwich
556,Change Coffee,"Change Coffee, 30 Park Row Dreadnought Building Greenwich Students' Union, London SE10 9DP, United Kingdom",51.4820025,-0.00751,Greenwich
557,Coffee Ethic,"23 Anglesea Rd, Woolwich, London SE18 6EG, UK",51.4884115,0.0680791,Greenwich
558,Costa Coffee,"Unit SU2052 - 276 1st Floor, The Arcade, London E20 1EQ, United Kingdom",51.4504128,0.05844120000000001,Greenwich
559,Costa Coffee,"101 High Street, Eltham, London SE9 1TD, UK",51.4508915,0.0541488,Greenwich
560,Costa Coffee,"Unit C, 100 Blackheath Rd, Greenwich, London SE10 8DA, UK",51.4728299,-0.0174065,Greenwich
561,Costa Coffee,"44-46 Greenwich Church St, Greenwich, London SE10 9BL, UK",51.4815754,-0.0098849,Greenwich
562,Costa Coffee,"29 Dowells St, Greenwich, London SE10 9BY, UK",51.4826214,-0.0155355,Greenwich
563,Costa Coffee,"Unit 3 7 Lambarde Square SE10 9GB, United Kingdom",51.4860439,0.0090384,Greenwich
564,Costa Coffee,"3-7, Lambard Square, Hazel Ln, Greenwich Peninsula, London SE10 9GB, UK",51.4861999,0.009200700000000001,Greenwich
565,Costa Coffee,"395 Woolwich Road, Charlton Riverside Place,, Charlton, London SE7 7AJ, United Kingdom",51.48755800000001,0.0275701,Greenwich
566,Costa Coffee,"Unit 1 DLR, Docklands Light Railway Station, Woolwich New Rd SE18 6EU, United Kingdom",51.49029549999999,0.0693613,Greenwich
567,Costa Coffee,"Unit C, NEXT, 4 Brocklebank Rd, London SE7 7FR, United Kingdom",51.4906491,0.0232014,Greenwich
568,Costa Coffee,"10 Peninsula Square, Greenwich Peninsula, London SE10 0EN, UK",51.5013339,0.005283599999999999,Greenwich
569,Diana Coffee & Sandwich Bar,"17 Joyce Dawson Way, Thamesmead, London SE28 8RA, UK",51.5068001,0.1073509,Greenwich
570,Fresh Ground Coffee House Eltham,"542 Westhorne Ave, London SE9 6DH, UK",51.4552607,0.0401061,Greenwich
571,Greggs,"64 Powis St, Woolwich, London SE18 6LQ, UK",51.4915674,0.0662398,Greenwich
572,Insomnnia Coffee Company,"Bugsby Way, Primark, Brocklebank Retail Park, Brocklebank Rd, London SE7 7SE, United Kingdom",51.4906044,0.0241218,Greenwich
573,Lakedale coffee,"21 Lakedale Rd, Plumstead, London SE18 1PP, UK",51.48714529999999,0.0913084,Greenwich
574,Moca,"10 Old Dover Rd, London SE3 7BT, UK",51.4767732,0.0209925,Greenwich
575,Nescafé Azera Coffee Shop - The O2,"Peninsula Square, Greenwich Peninsula, London SE10 0DX, UK",51.5033127,0.0034575,Greenwich
576,Old Cottage Coffee Shop Cafe,"16 Charlton Park Rd, Charlton, London SE7 8UB, UK",51.4816796,0.0404581,Greenwich
577,Park View Coffee Cabin,"Greenwich, London SE10 8XJ, UK",51.4773721,-0.0003064,Greenwich
578,Pistachios In The Park,"Chevening Rd, Greenwich Peninsula, London SE10 0LB, UK",51.4840889,0.0134647,Greenwich
579,Sabeste Coffee Shop,"44 Herbert Rd, Plumstead, London, Herbert Rd, SabesteCoffee SE18 3SH, United Kingdom",51.4804599,0.0694859,Greenwich
580,Starbucks,"54-56 Greenwich Church St, Greenwich Peninsula, London SE10 9BL, UK",51.4821517,-0.0098852,Greenwich
581,Starbucks Coffee,"The O2 Unit 101, London SE10 0BB, United Kingdom",51.5022007,0.005046,Greenwich
582,The Coffee Lounge,"Equitable House, 29 Greens End, London SE18 6AB, United Kingdom",51.49043890000001,0.0681362,Greenwich
583,The Coffee Machine Company Ltd,"Unit 46-47 The I O Centre, London SE18 6AT, United Kingdom",51.4923744,0.077128,Greenwich
584,Top Chef Cafe,"28 Eltham High St, Eltham, London SE9 1DA, UK",51.45116059999999,0.0495914,Greenwich
585,Westmount Cafe,"142 Westmount Rd, London SE9 1XA, UK",51.4583278,0.0590693,Greenwich
586,119 Lower Clapton,"119 Lower Clapton Rd, Clapton, London E5 0NP, UK",51.552406,-0.052839,Hackney
587,Allegro Coffee Company,"32-40, Stoke Newington Church St, Stoke Newington, London N16 0LU, UK",51.5622469,-0.0753548,Hackney
588,Almond Lane Coffee House London,"126 Ridley Rd, Dalston, London E8 2NR, UK",51.5479598,-0.07162919999999999,Hackney
589,Arsenal cafe,"25 Blackstock Rd, Finsbury Park, London N4 2JF, UK",51.5641104,-0.1032633,Hackney
590,Attendant Shoreditch,"74 Great Eastern St, Hackney, London EC2A 3JL, UK",51.5256826,-0.0824493,Hackney
591,Balcone London,"176 Victoria Park Rd, London E9 7HD, UK",51.538217,-0.043988,Hackney
592,Bean & Wheat,"321 Old St, Hackney, London EC1V 9LE, UK",51.52695199999999,-0.080907,Hackney
593,Black & White Coffee Co.,"Lower Clapton Rd, Clapton, London E5 8TN, UK",51.5556012,-0.05456780000000001,Hackney
594,Blend Cafe Ltd,"HBC Centre, Barnabas Road, Homerton E9 5SD, United Kingdom",51.5459259,-0.041961,Hackney
595,Blighty - a Commonwealth of Nations cafe,"35-37 Blackstock Rd, Finsbury Park, London N4 2JF, UK",51.5639931,-0.1029511,Hackney
596,Brunswick East,"Stamford Works, 3D, Gillett St, London N16 8JH, United Kingdom",51.549168,-0.07678299999999999,Hackney
597,Climpson & Sons Café,"67 Broadway Market, London E8 4PH, UK",51.5374701,-0.0613386,Hackney
598,Coffee Break London,"96A Stoke Newington High St, Clapton, London N16 7NY, UK",51.5595934,-0.07389509999999999,Hackney
599,Coffee Junction,"23-25 Dalston Ln, Dalston, London E8 3DF, UK",51.5463432,-0.07371649999999999,Hackney
600,Costa Clapton,"Gate 1, Chatters Food Court, Homerton Row, London E9 6SR, United Kingdom",51.55048590000001,-0.0463499,Hackney
601,Costa Coffee,"13 Kingsland High St, Dalston, London N16 8HR, UK",51.5467916,-0.075837,Hackney
602,Costa Coffee,"1a, Kingsland Shopping Centre, 54 Kingsland High St, Dalston, London E8 2LX, UK",51.5478237,-0.0751902,Hackney
603,Costa Coffee,"131-133 Stoke Newington High St, Stoke Newington, London N16 0PJ, UK",51.56064749999999,-0.0741386,Hackney
604,Costa Coffee,"Stoke Newington, London N16 0PJ, UK",51.5606587,-0.07404179999999999,Hackney
605,Curio Cabal,"258 Kingsland Rd, Haggerston, London E8 4DG, UK",51.5373124,-0.0764729,Hackney
606,EAT.,"59 Great Eastern St, Hackney, London EC2A 3HS, UK",51.5247655,-0.081283,Hackney
607,Esters,"55 Kynaston Rd, Stoke Newington, London N16 0EB, UK",51.560102,-0.078067,Hackney
608,Fix 126,"126 Curtain Rd, Hackney, London EC2A 3PJ, UK",51.526123,-0.080209,Hackney
609,Galeria Coffee,"155 Stoke Newington High St, Stoke Newington, London N16 0NY, UK",51.56126099999999,-0.07389799999999999,Hackney
610,Kaffa Coffee,"1 Gillett Square, Dalston, London N16 8AZ, UK",51.54894179999999,-0.0766385,Hackney
611,Lion Coffee + Records London,"118 Lower Clapton Rd, Clapton, London E5 0QR, UK",51.553969,-0.0535154,Hackney
612,Mare Street Cafe Bar,"212A Mare St, London E8 3RD, UK",51.54353380000001,-0.0551649,Hackney
613,Molecular Coffee,"168 Clapton Common, London E5 9AG, UK",51.5733234,-0.0714899,Hackney
614,Muisca Colombian Coffee,"228 Stoke Newington High St, Clapton, London N16 7HU, UK",51.56321819999999,-0.07297130000000002,Hackney
615,NEPA Coffee and food,"29 Corsham St, Old Street, London N1 6DR, UK",51.5276716,-0.0868984,Hackney
616,Nkora Coffee - Shoreditch,"21 Hackney Rd, London E2 7NX, UK",51.5276012,-0.07690010000000001,Hackney
617,Origin Coffee Roasters,"65 Charlotte Rd, Shoreditch, London EC2A 3PE, UK",51.52636949999999,-0.08109809999999999,Hackney
618,PEARL Hackney Wick,"East Wing Oslo House, 11 Prince Edward Rd, Hackney Wick, London E9 5LX, UK",51.54418219999999,-0.0258766,Hackney
619,RENZO,"87 Leonard St, Hackney, London EC2A 4QS, UK",51.5247086,-0.0825532,Hackney
620,Rio Cinema Coffee Shop,"Rio Cinema, 107 Kingsland High St, Dalston, London E8 2PB, UK",51.5496084,-0.0753983,Hackney
621,Salvation Army Coffee Shop,"70 Mare St, London E8 4RT, UK",51.5373954,-0.05678479999999999,Hackney
622,Sapid Coffee London,"168 Stoke Newington Church St, Stoke Newington, London N16 0JL, UK",51.5616022,-0.0818521,Hackney
623,Sevengrams UK Ltd. / Coffee Studio 7Gr. Shoreditch,"194 Shoreditch High St, Hackney, London E1 6LG, UK",51.5237828,-0.0775049,Hackney
624,Taylor St Baristas Shoreditch,"110 Clifton St, Hackney, London EC2A 4HT, UK",51.5239274,-0.0823358,Hackney
625,The Bach,"12 Broadway Market, London E8 4QJ, UK",51.5359898,-0.06172599999999999,Hackney
626,The Book Club,"100-106 Leonard St, Hackney, London EC2A 4RH, UK",51.5245998,-0.0816266,Hackney
627,The Coffee Shop,"Kingsland Hub, 242 Kingsland Rd, London E8 4DG, United Kingdom",51.5368327,-0.07650549999999999,Hackney
628,The GRAND HOWL London,"214 Well St, London E9 6QT, UK",51.5443448,-0.0466302,Hackney
629,The Old Baths Cafe,"80 Eastway, Hackney Wick, London E9 5JH, UK",51.547098,-0.029341,Hackney
630,The Ship of Adventures,"138 Kingsland High St, Hackney Downs, London E8 2NS, UK",51.5502838,-0.07483780000000001,Hackney
631,Thingy Coffee Shop,"14 Felstead St, Hackney Wick, London E9 5LT, UK",51.54438469999999,-0.0261324,Hackney
632,Tram Store,"38 Upper Clapton Rd, Clapton, London E5 8BQ, UK",51.5598565,-0.0557381,Hackney
633,Trew Era Cafe,"34 Whitmore Rd, London N1 5QA, UK",51.536344,-0.081725,Hackney
634,Venetia's Coffee Shop,"55 Chatsworth Rd, Lower Clapton, London E5 0LH, UK",51.5533639,-0.0448681,Hackney
635,Workers' Dalston,"404 Kingsland Rd, Dalston, London E8 4AA, UK",51.5415388,-0.0760342,Hackney
636,Yellow Warbler,"9 Northwold Rd, Cazenove, London N16 7HL, UK",51.5632274,-0.0724503,Hackney
637,Zer Coffee and Juice Bar,"Goodchild Rd, Woodberry Down, London N4 2LY, UK",51.5711026,-0.08980959999999999,Hackney
638,Allegro Coffee Company,"2-6 Fulham Broadway, Fulham, London SW6 1AA, UK",51.4800474,-0.1963508,Hammersmith and Fulham
639,Amoret Specialty Coffee,"11 Beadon Rd, Hammersmith, London W6 0EA, UK",51.493356,-0.2256142,Hammersmith and Fulham
640,Antipode,"28 Fulham Palace Rd, Hammersmith, London W6 9PH, UK",51.491012,-0.2239373,Hammersmith and Fulham
641,Black Sheep Coffee,"Southern interchange Unit SUC304, Ariel Way, London W12 7GA, United Kingdom",51.5054253,-0.2183412,Hammersmith and Fulham
642,COFX Coffee Caffeine Society,"220 Fulham Palace Rd, Hammersmith, London W6 9NT, UK",51.4841343,-0.2199096,Hammersmith and Fulham
643,Cafe Plum,"17 Crisp Rd, Hammersmith, London W6 9RL, UK",51.4886725,-0.2271865,Hammersmith and Fulham
644,Caffe Latte,"Passmore Edwards Public Library, 7 Uxbridge Rd, Shepherd's Bush, London W12 8LJ, UK",51.50533679999999,-0.2257991,Hammersmith and Fulham
645,Caffè Nero,"142 Wandsworth Bridge Rd, Fulham, London SW6 2UL, UK",51.4720258,-0.1916357,Hammersmith and Fulham
646,Caffè Nero,"480 Fulham Rd, Fulham, London SW6 5NH, UK",51.4805289,-0.1980422,Hammersmith and Fulham
647,Caffè Nero,"168-188 Fulham Palace Rd, Hammersmith, London W6 9PA, UK",51.48516799999999,-0.2202648,Hammersmith and Fulham
648,Caffè Nero,"1-5 King St, Hammersmith, London W6 9HR, UK",51.4927478,-0.2252781,Hammersmith and Fulham
649,Caffè Nero,"6 Hammersmith Broadway, Hammersmith, London W6 7AL, UK",51.4932727,-0.2236761,Hammersmith and Fulham
650,Caffè Nero,"C302, Southern Interchange, Ariel Way, White City, London W12 7SL, UK",51.50514920000001,-0.2184116,Hammersmith and Fulham
651,Camden Coffee House (Goldhawk road),"inside Tube Station, 57A Goldhawk Rd, Hammersmith, London W12 8EG, UK",51.5023474,-0.2267959,Hammersmith and Fulham
652,Chairs & Coffee,"512 Fulham Rd, Fulham, London SW6 5NJ, UK",51.4797269,-0.1990556,Hammersmith and Fulham
653,Coco di Mama - Italian to Go - Hammersmith,"Unit 31, Broadway Shopping Centre West, Hammersmith Broadway, Hammersmith, London W6 9YE, UK",51.4922924,-0.2245915,Hammersmith and Fulham
654,Coffee Station,"167 King St, Hammersmith, London W6 9JT, UK",51.4925445,-0.2326693,Hammersmith and Fulham
655,Costa Coffee,"Ground Floor, Fulham Palace Rd, Hammersmith, London W6 8RF, UK",51.48702979999999,-0.2206729,Hammersmith and Fulham
656,Costa Coffee,"Unit 24E Broadway Shopping Centre, London W6 9YD, United Kingdom",51.49232540000001,-0.2241726,Hammersmith and Fulham
657,Costa Coffee,"25 King St, Hammersmith, London W6 0PZ, UK",51.4928925,-0.2266671,Hammersmith and Fulham
658,Costa Coffee,"120 Askew Rd, Shepherd's Bush, London W12 9BL, UK",51.5025609,-0.2431244,Hammersmith and Fulham
659,Costa Coffee,"72 Uxbridge Rd, Shepherd's Bush, London W12 8LP, UK",51.5045673,-0.2198882,Hammersmith and Fulham
660,Costa Coffee,"Unit 1089A, Westfield London Shopping Centre, Ariel Way, London W12 7GD, United Kingdom",51.506045,-0.219061,Hammersmith and Fulham
661,Costa Coffee,"Ariel Way, White City, London W12 7GA, UK",51.5069539,-0.2232399,Hammersmith and Fulham
662,Costa Within Debenhams,"Westfield London Shopping Centre Ariel Way, White City, London W12 7GA, UK",51.5078964,-0.2235351,Hammersmith and Fulham
663,Crazy For Coffee,"345 North End Rd, Fulham, London SW6 1NN, UK",51.484692,-0.201757,Hammersmith and Fulham
664,Doctor Espresso N3,"40 Fulham High St, Fulham, London SW6 3LQ, UK",51.4707526,-0.2111152,Hammersmith and Fulham
665,Dum Dums Donutterie,"Westfield Shopping Centre, Ariel Way, White City, London W12 7GD, UK",51.5094888,-0.2222103,Hammersmith and Fulham
666,Esquires Coffee Shop,"West 12 Shopping Centre, London W12 8PP, United Kingdom",51.504041,-0.2186649,Hammersmith and Fulham
667,Harris + Hoole,"215 Townmead Rd, Fulham, London SW6 2TW, UK",51.4743032,-0.182879,Hammersmith and Fulham
668,Harris + Hoole,"Distillery Wharf, E, Regatta Ln, London W6 9RU, United Kingdom",51.48734040000001,-0.2260254,Hammersmith and Fulham
669,It’s pleat,"Westfield London Shopping Centre Ariel Way, White City, London W12 7GA, UK",51.5072023,-0.2232423,Hammersmith and Fulham
670,Origin Coffee Roasters,"The Aircraft Factory, 100 Cambridge Grove, London W6 0LE, United Kingdom",51.4959132,-0.2306881,Hammersmith and Fulham
671,PAUL Hammersmith,"Unit 34B, Broadway Shopping Centre West, Hammersmith Broadway, Hammersmith, London W6 9YD, UK",51.4926609,-0.2234826,Hammersmith and Fulham
672,Reyna and Raffi's,"82 Fulham Palace Rd, Hammersmith, London W6 9PL, UK",51.4885439,-0.2229076,Hammersmith and Fulham
673,SOHO Coffee Co.,"Westfield Shopping Centre, Ariel Way, London W12 7GF, United Kingdom",51.5072749,-0.2203549,Hammersmith and Fulham
674,Sacred,"Westfield London Ground floor, Atrium Entrance Ariel Way, Shepherds Bush London W12 7GF W12 7JQ, United Kingdom",51.50720459999999,-0.2212411,Hammersmith and Fulham
675,Shot Espresso Parsons Green,"28 Parsons Green Ln, Fulham, London SW6 4HS, UK",51.4762305,-0.20095,Hammersmith and Fulham
676,Sodexo Costa,"Royal Hospital Rd, Shepherd's Bush, London W12 0HS, UK",51.5171863,-0.2373493,Hammersmith and Fulham
677,Starbucks,"62 Uxbridge Rd, White City, London W12 8LP, UK",51.5045316,-0.2195109,Hammersmith and Fulham
678,Starbucks,"Unit 2122, Ariel Way, White City, London W12 7GE, UK",51.5074863,-0.2229796,Hammersmith and Fulham
679,Starbucks Coffee,"HAMMERSMITH THE BROADWAY CENTR UNIT 5B/6 W6 9YD, United Kingdom",51.4926124,-0.2243383,Hammersmith and Fulham
680,Starbucks Coffee,"Wood Ln, White City, London W12 7DP, UK",51.5100262,-0.2243011,Hammersmith and Fulham
681,Starbucks Coffee,"British Broadcasting Corporati, 201 Wood Ln, White City, London W12 7TU, UK",51.51321429999999,-0.227219,Hammersmith and Fulham
682,Swallow Coffee Shop,"75 Goldhawk Rd, Hammersmith, London W12 8EH, UK",51.5020687,-0.2274007,Hammersmith and Fulham
683,Tesco Café,"Imperial Wharf, Townmead Rd, London SW6 2TW, United Kingdom",51.4740902,-0.1830013,Hammersmith and Fulham
684,The Hub,"1 Butterwick, Hammersmith, London W6 8DL, UK",51.4918465,-0.2218692,Hammersmith and Fulham
685,The Italian Coffee Club,"4/5 Shepherd's Bush Market, Uxbridge Rd, White City, London W12 8DG, UK",51.5050776,-0.2268011,Hammersmith and Fulham
686,Tinto Coffee,"411 Fulham Palace Rd, Fulham, London SW6 6SX, UK",51.473819,-0.212842,Hammersmith and Fulham
687,Truth,"34 Fulham Palace Rd, Hammersmith, London W6 9PH, UK",51.490856,-0.223943,Hammersmith and Fulham
688,VV Coffee Bar,"214 New King's Rd, Fulham, London SW6 4NZ, UK",51.46946149999999,-0.2094743,Hammersmith and Fulham
689,Volcano Coffee Works,"Hammersmith, London W6 7EJ, UK",51.494118,-0.2257362,Hammersmith and Fulham
690,Wafflemeister,"The Balcony, Ariel Way, White City, London W12 7GF, UK",51.507586,-0.221881,Hammersmith and Fulham
691,bonbon,"129 Wandsworth Bridge Rd, Hammersmith, London SW6 2TT, UK",51.4723215,-0.1913948,Hammersmith and Fulham
692,Armoni Coffee,"13 Broadway Parade, Crouch End, London N8 9DE, UK",51.580393,-0.1225634,Haringey
693,Beans & Barley,"Etcetera Workshop, Green Lanes, Harringay, London N8 0RE, UK",51.5843537,-0.1003538,Haringey
694,Bite to Eat Cafe London,"698 High Rd, Tottenham, London N17 0AE, UK",51.6011264,-0.0676464,Haringey
695,Blend Cafe,"587 Green Lanes, Harringay, London N8 0RG, UK",51.5840715,-0.100194,Haringey
696,Blighty Tottenham - a Commonwealth of Nations cafe,"266 High Rd, Tottenham, London N15 4AJ, UK",51.5857897,-0.0714784,Haringey
697,Bom Pecado,"W Green Rd, Tottenham, London N15 5PD, UK",51.5847531,-0.07717159999999999,Haringey
